id;Fecha;Fallecidos
953;11/07/1999;0
766;8/07/1999;0
769;8/07/1999;0
783;8/07/1999;0
1084;8/07/1999;0
271;6/07/1999;0
373;30/06/1999;0
775;28/06/1999;0
782;28/06/1999;0
270;27/06/1999;0
999;27/06/1999;0
276;19/06/1999;0
757;19/06/1999;0
799;19/06/1999;0
777;17/06/1999;0
274;14/06/1999;0
275;14/06/1999;0
1065;13/06/1999;0
795;10/06/1999;0
267;9/06/1999;0
762;9/06/1999;0
790;9/06/1999;0
794;9/06/1999;0
1083;9/06/1999;0
375;8/06/1999;0
778;8/06/1999;0
797;8/06/1999;0
798;8/06/1999;0
982;8/06/1999;0
1082;8/06/1999;2
789;7/06/1999;0
809;31/05/1999;0
759;21/05/1999;0
588;13/05/1999;0
787;13/05/1999;0
214;12/05/1999;0
596;12/05/1999;0
523;11/05/1999;0
788;9/05/1999;0
1058;7/05/1999;0
776;2/05/1999;0
964;27/04/1999;0
17;30/03/1999;1
137;30/03/1999;1
763;30/03/1999;0
491;25/03/1999;0
764;25/03/1999;0
796;25/03/1999;0
792;18/03/1999;0
793;18/03/1999;0
761;14/03/1999;0
791;8/03/1999;0
374;2/03/1999;0
765;2/03/1999;0
1000;28/02/1999;0
779;25/02/1999;0
958;24/02/1999;0
959;24/02/1999;0
960;24/02/1999;0
785;23/02/1999;0
786;21/02/1999;0
771;9/02/1999;0
935;6/01/1999;0
780;4/01/1999;0
490;27/12/1998;1
939;26/12/1998;0
364;22/12/1998;0
755;21/12/1998;0
363;20/12/1998;0
913;20/12/1998;0
998;16/12/1998;0
746;8/12/1998;0
467;28/11/1998;1
481;28/11/1998;1
442;17/11/1998;0
1046;16/11/1998;0
587;8/11/1998;0
482;29/10/1998;0
747;27/10/1998;0
10;26/10/1998;2
73;26/10/1998;2
183;26/10/1998;2
751;25/10/1998;0
910;25/10/1998;0
911;24/10/1998;0
230;22/10/1998;0
366;19/10/1998;0
750;15/10/1998;0
439;9/10/1998;0
739;7/10/1998;0
571;6/10/1998;0
595;5/10/1998;0
735;5/10/1998;0
440;29/09/1998;0
574;29/09/1998;0
365;28/09/1998;0
441;25/09/1998;0
956;24/09/1998;0
369;23/09/1998;0
748;22/09/1998;0
446;21/09/1998;0
367;9/09/1998;0
378;5/09/1998;0
564;3/09/1998;0
565;3/09/1998;0
592;2/09/1998;2
468;4/08/1998;0
752;30/07/1998;0
560;12/07/1998;0
756;29/06/1998;0
737;5/06/1998;0
447;4/06/1998;0
743;1/06/1998;0
753;1/06/1998;0
199;31/05/1998;0
734;30/05/1998;0
736;30/05/1998;0
912;30/05/1998;0
744;27/05/1998;0
742;26/05/1998;0
946;26/05/1998;0
749;19/05/1998;0
362;17/05/1998;0
438;12/05/1998;0
522;12/05/1998;0
480;11/05/1998;0
1081;11/05/1998;0
118;8/05/1998;1
115;4/05/1998;1
443;4/05/1998;0
229;3/05/1998;0
738;2/05/1998;0
445;27/04/1998;0
586;27/04/1998;0
266;25/04/1998;0
741;24/04/1998;0
754;15/04/1998;0
368;12/04/1998;0
740;12/04/1998;0
444;26/03/1998;0
566;19/02/1998;0
745;5/02/1998;0
729;19/11/1997;0
730;19/11/1997;0
725;30/10/1997;0
731;1/09/1997;0
726;20/08/1997;0
542;19/08/1997;0
585;10/08/1997;0
361;2/07/1997;0
466;18/06/1997;0
520;18/06/1997;0
584;11/06/1997;0
733;10/06/1997;0
727;7/06/1997;0
436;5/06/1997;0
908;5/06/1997;0
360;28/04/1997;0
1022;25/04/1997;0
732;21/04/1997;0
359;14/04/1997;0
437;14/04/1997;0
265;6/04/1997;0
263;5/04/1997;0
728;19/03/1997;0
967;11/03/1997;0
521;13/02/1997;0
1023;13/02/1997;0
909;1/02/1997;0
907;31/01/1997;0
264;25/01/1997;0
724;22/01/1997;0
966;5/01/1997;0
538;27/12/1996;0
997;20/11/1996;0
262;28/10/1996;0
945;12/10/1996;0
532;2/09/1996;0
357;16/08/1996;0
719;16/07/1996;0
558;7/07/1996;0
559;7/07/1996;0
906;6/07/1996;0
718;4/07/1996;0
435;1/07/1996;0
519;1/07/1996;0
570;1/07/1996;0
720;1/07/1996;0
358;29/06/1996;0
518;27/06/1996;0
285;30/05/1996;0
354;30/05/1996;0
355;30/05/1996;0
356;30/05/1996;0
478;29/05/1996;0
517;28/05/1996;0
952;26/05/1996;0
239;22/05/1996;0
434;21/05/1996;0
19;16/05/1996;2
160;16/05/1996;3
934;16/05/1996;0
479;14/05/1996;0
1020;13/05/1996;0
722;12/05/1996;2
1019;12/05/1996;0
1021;12/05/1996;0
548;15/04/1996;0
723;21/02/1996;0
352;17/02/1996;0
353;17/02/1996;0
721;15/01/1996;0
1012;16/12/1995;0
944;13/12/1995;0
932;11/12/1995;0
557;6/12/1995;0
709;27/08/1995;0
345;23/08/1995;0
259;22/08/1995;0
344;22/08/1995;0
