id;Fecha;Incertidum;Fallecidos;Economicas
323;13/12/1993;Mid;0;0
324;14/12/1993;Mid;0;0
325;14/12/1993;Mid;0;0
326;16/01/1994;Mid;0;0
327;2/03/1994;Mid;0;0
328;5/04/1994;Mid;0;46
329;12/04/1994;Mid;0;5
330;20/04/1994;Mid;0;0
331;24/04/1994;Mid;0;12
332;1/05/1994;Mid;0;50
333;10/05/1994;Mid;0;0
334;12/05/1994;Mid;0;0
335;17/05/1994;Mid;0;10
336;23/05/1994;Mid;0;100
337;25/05/1994;Mid;0;11
338;29/05/1994;Mid;0;0
339;22/06/1994;Mid;0;100
340;11/07/1994;Mid;0;0
341;7/09/1994;High;3;0
342;11/09/1994;Mid;0;0
343;18/09/1994;Mid;0;9
344;26/09/1994;Mid;0;0
345;26/09/1994;High;0;0
346;10/10/1994;Mid;0;0
347;12/10/1994;Mid;0;10
348;12/10/1994;Mid;0;0
349;12/10/1994;Mid;0;0
350;19/10/1994;Mid;0;20
351;23/10/1994;Mid;0;0
352;24/10/1994;Mid;0;0
353;24/10/1994;Mid;0;0
354;24/10/1994;Mid;0;0
355;24/10/1994;Mid;0;0
356;24/10/1994;Mid;0;5
357;24/10/1994;Mid;0;4
358;24/10/1994;Mid;0;6
359;24/10/1994;Mid;0;1
360;25/10/1994;Mid;0;0
361;26/10/1994;Mid;0;0
362;31/10/1994;Mid;0;0
363;31/10/1994;Mid;0;0
364;1/11/1994;Mid;0;65
365;2/11/1994;Mid;0;0
366;3/11/1994;High;5;0
367;3/11/1994;High;7;7
368;3/11/1994;High;0;0
369;3/11/1994;High;0;0
370;5/11/1994;High;0;2
371;7/11/1994;High;0;0
372;8/11/1994;Mid;0;5
373;8/11/1994;Mid;0;0
374;9/11/1994;High;0;0
375;23/11/1994;Mid;0;0
376;23/11/1994;Mid;0;0
377;24/11/1994;Mid;0;4
378;24/11/1994;Mid;0;5
379;24/11/1994;High;0;0
380;24/11/1994;Mid;0;35
381;24/11/1994;Mid;0;0
382;24/11/1994;Mid;0;5
383;24/11/1994;Mid;0;8
384;25/11/1994;High;0;0
385;25/11/1994;Mid;0;0
386;25/11/1994;Mid;0;0
387;25/11/1994;Mid;0;0
388;25/11/1994;Mid;0;13
389;20/12/1994;High;0;0
390;14/03/1995;High;0;12
391;21/03/1995;Mid;0;0
392;22/03/1995;Mid;0;0
393;21/04/1995;Mid;0;0
394;23/04/1995;Mid;0;8
395;29/04/1995;Mid;0;0
396;14/05/1995;High;0;0
397;14/05/1995;Mid;1;0
398;15/05/1995;Mid;1;10
399;15/05/1995;Mid;1;0
400;15/05/1995;Mid;1;0
401;6/06/1995;Mid;0;0
402;6/06/1995;High;0;0
403;6/06/1995;High;0;6
404;7/06/1995;Mid;0;0
405;7/06/1995;Mid;0;0
406;7/06/1995;Mid;0;0
407;7/06/1995;Mid;0;0
408;14/06/1995;Mid;0;0
409;26/07/1995;Mid;0;0
410;29/07/1995;Mid;0;0
411;31/07/1995;Mid;0;0
412;1/08/1995;Mid;0;0
413;1/08/1995;Mid;0;0
414;3/08/1995;Mid;0;0
415;4/08/1995;Mid;0;0
416;4/08/1995;Mid;0;0
417;4/08/1995;Mid;0;0
418;4/08/1995;Mid;0;0
419;11/08/1995;Mid;0;0
420;11/08/1995;Mid;0;0
421;14/08/1995;Mid;0;0
422;16/08/1995;Mid;0;0
423;19/08/1995;Mid;0;0
424;19/08/1995;Mid;0;0
425;20/08/1995;Mid;0;0
426;20/08/1995;Mid;0;0
427;20/08/1995;Mid;0;200
428;20/08/1995;Mid;0;0
429;20/08/1995;High;0;0
430;20/08/1995;High;0;0
431;20/08/1995;Mid;0;0
432;20/08/1995;Mid;0;0
433;20/08/1995;Mid;0;0
434;20/08/1995;Mid;0;0
435;21/08/1995;Mid;0;0
436;21/08/1995;Mid;0;0
437;21/08/1995;High;0;0
438;21/08/1995;High;0;0
439;21/08/1995;High;0;0
440;21/08/1995;High;0;0
441;21/08/1995;Mid;0;0
442;22/08/1995;Mid;0;0
443;22/08/1995;Mid;0;0
444;22/08/1995;Mid;0;32
445;22/08/1995;Mid;0;0
446;22/08/1995;Mid;0;0
447;23/08/1995;Mid;0;0
448;27/08/1995;High;0;0
449;6/12/1995;Mid;0;0
450;11/12/1995;Mid;0;0
451;13/12/1995;Mid;0;0
452;16/12/1995;Mid;0;0
453;15/01/1996;High;0;3
454;17/02/1996;Mid;0;0
455;17/02/1996;Mid;0;0
456;21/02/1996;High;0;0
457;15/04/1996;Mid;0;0
458;12/05/1996;High;2;0
459;12/05/1996;Mid;0;22
460;12/05/1996;Mid;0;0
461;13/05/1996;Mid;0;0
462;14/05/1996;Mid;0;0
463;16/05/1996;Mid;0;0
464;21/05/1996;Mid;0;0
465;22/05/1996;Mid;0;0
466;26/05/1996;Mid;0;0
467;28/05/1996;Mid;0;0
468;29/05/1996;Mid;0;0
469;30/05/1996;Mid;0;0
470;30/05/1996;Mid;0;0
471;30/05/1996;Mid;0;0
472;30/05/1996;Mid;0;0
473;27/06/1996;Mid;0;0
474;29/06/1996;Mid;0;0
475;1/07/1996;Mid;0;0
476;1/07/1996;Mid;0;0
477;1/07/1996;Mid;0;0
478;1/07/1996;High;0;0
479;4/07/1996;High;0;0
480;6/07/1996;Mid;0;0
481;7/07/1996;Mid;0;0
482;7/07/1996;Mid;0;0
483;16/07/1996;High;0;0
484;16/08/1996;Mid;0;0
485;2/09/1996;Mid;0;0
486;12/10/1996;Mid;0;0
487;28/10/1996;Mid;0;0
488;20/11/1996;Mid;0;0
489;27/12/1996;Mid;0;0
490;5/01/1997;Mid;0;0
